word	count
crippled	16
penis	6
goddamnit	5
sex	5
ho	5
ass	4
drugs	4
vagina	4
jackass	4
hell	3
fat	3
punkass	3
fuck	3
bitch	3
whore	3
ppussy	2
cripple	2
asswipe	2
dick	2
raped	2
crappy	2
butthole	2
stinky	1
jerk	1
vaginas	1
dicks	1
forfufucks	1
motherfucker	1
porn	1
rrretard	1
fuckin	1
bballs	1
jjjackass	1
bbitch	1
ddildos	1
niggaz	1
bbbbitches	1
tampon	1
gay	1
vavagina	1
ffuck	1
meatballs	1
nuts	1
balls	1
ppenis	1
bbutthole	1
fufufuck	1
bababalls	1
assmmmuncher	1
nigga	1
fagghecini	1
pppussy	1
douche	1
cccrippled	1
ginger	1
damnit	1
bbbastardized	1
ffaggots	1
goddamned	1
ffarted	1
retards	1
ggoddamned	1
fffucking	1